frequency,name,type
1,Steinbrenner,last_name
1,Stone,last_name
1,Stuart,last_name
1,Stumpf,last_name
1,Sturgis,last_name
1,Tobin,last_name
1,Trautman,last_name
1,Travers,last_name
1,Trekell,last_name
1,Tyson,last_name
1,Waldbauer,last_name
1,Walters,last_name
1,Wendell,last_name
1,Wortman,last_name
1,Yaryan,last_name
1,Yelle,last_name
1,York,last_name
1,Aldridge,last_name
1,Altenburg,last_name
1,Ancker,last_name
1,Bankston,last_name
1,Barber,last_name
1,Beatty,last_name
1,Bernhardt,last_name
1,Blethen,last_name
1,Boardman,last_name
1,Boehler,last_name
1,Bolden,last_name
1,Bradley,last_name
1,Burr,last_name
1,Butler,last_name
1,Camp,last_name
1,Causey,last_name
1,Chaplin,last_name
1,Christenbury,last_name
1,Currie,last_name
1,Jardien,last_name
1,Deviney,last_name
1,Dillhoefer,last_name
1,Duffy,last_name
1,East,last_name
1,Eccles,last_name
1,Eibel,last_name
1,Engel,last_name
1,Faeth,last_name
1,Fillingim,last_name
1,Fishburn,last_name
1,Flagstead,last_name
1,Francis,last_name
1,Fuhr,last_name
1,Fuller,last_name
1,Gandy,last_name
1,Gedeon,last_name
1,Glavenich,last_name
1,Glazner,last_name
1,Gould,last_name
1,Hasbrouck,last_name
1,Haworth,last_name
1,Head,last_name
1,Heath,last_name
1,Hemingway,last_name
1,Hennessey,last_name
1,Herrmann,last_name
1,Hiller,last_name
1,Hobbs,last_name
1,Hodge,last_name
1,Hoffman,last_name
1,Howard,last_name
1,Jamieson,last_name
1,Juul,last_name
1,Kaiserling,last_name
1,Karr,last_name
1,Karst,last_name
1,Kilduff,last_name
1,Kinney,last_name
1,Lawry,last_name
1,Leifer,last_name
1,Leinhauser,last_name
1,Lorenzen,last_name
1,Low,last_name
1,Marriott,last_name
1,McNally,last_name
1,Meyer,last_name
1,Michaelson,last_name
1,Morrell,last_name
1,Morton,last_name
1,Mulrenan,last_name
1,Nelson,last_name
1,Nutter,last_name
1,Oldham,last_name
1,Onslow,last_name
1,Osborne,last_name
1,Palmer,last_name
1,Peters,last_name
1,Pezold,last_name
1,Pipp,last_name
1,Plitt,last_name
1,Ponder,last_name
1,Prothro,last_name
1,Pumpelly,last_name
1,Rader,last_name
1,Rheam,last_name
1,Ritter,last_name
1,Roush,last_name
1,Ruether,last_name
1,Sargent,last_name
1,Sheely,last_name
1,Sisler,last_name
1,Slattery,last_name
1,Smallwood,last_name
1,Smyth,last_name
1,Snell,last_name
1,Sothoron,last_name
1,Southworth,last_name
1,Spalding,last_name
1,Speraw,last_name
1,Stock,last_name
1,Strand,last_name
1,Tillman,last_name
1,Tincup,last_name
1,Vereker,last_name
1,Kolnitz,last_name
1,Warmoth,last_name
1,Wheat,last_name
1,Wheatley,last_name
1,White,last_name
1,Woodman,last_name
1,Wrightstone,last_name
1,Yeabsley,last_name
1,Alten,last_name
1,Ballenger,last_name
1,Berger,last_name
1,Berry,last_name
1,Betzel,last_name
1,Bischoff,last_name
1,Bluhm,last_name
1,Bold,last_name
1,Bono,last_name
1,Bressler,last_name
1,Brickley,last_name
1,Calvo,last_name
1,Cantwell,last_name
1,Carpenter,last_name
1,Carter,last_name
1,Caton,last_name
1,Caveney,last_name
1,Cone,last_name
1,Cooney,last_name
1,Corcoran,last_name
1,Corey,last_name
1,Covington,last_name
1,Coyne,last_name
1,Crane,last_name
1,Crawford,last_name
1,Decatur,last_name
1,Dillinger,last_name
1,Divis,last_name
1,Dixon,last_name
1,Donahue,last_name
1,Dressen,last_name
1,Edwards,last_name
1,Ehmke,last_name
1,Ehrhardt,last_name
1,Eller,last_name
1,Ewoldt,last_name
1,Fincher,last_name
1,Fluhrer,last_name
1,Fortune,last_name
1,Gingras,last_name
1,Glaiser,last_name
1,Glaser,last_name
1,Gleich,last_name
1,Glockson,last_name
1,Golvin,last_name
1,Grant,last_name
1,Grubbs,last_name
1,Gunkel,last_name
1,Haeffner,last_name
1,Heilmann,last_name
1,Henline,last_name
1,Hofmann,last_name
1,Holt,last_name
1,Jackson,last_name
1,Jacobus,last_name
1,Judge,last_name
1,Kolp,last_name
1,Layden,last_name
1,Ledbetter,last_name
1,Leslie,last_name
1,Leverett,last_name
1,Loan,last_name
1,Mails,last_name
1,Mamaux,last_name
1,Markle,last_name
1,McAvoy,last_name
1,McClellan,last_name
1,McColl,last_name
1,McElwee,last_name
1,Meadows,last_name
1,Menosky,last_name
1,Milan,last_name
1,Morrisette,last_name
1,Mulligan,last_name
1,Myers,last_name
1,Neitzke,last_name
1,Neu,last_name
1,Nicholson,last_name
1,O'Donnell,last_name
1,Olsen,last_name
1,Parnham,last_name
1,Pennock,last_name
1,Petty,last_name
1,Pillion,last_name
1,Pitler,last_name
1,Raymond,last_name
1,Rettig,last_name
1,Risberg,last_name
1,Rodriguez,last_name
1,Shafer,last_name
1,Shanner,last_name
1,Steele,last_name
1,Steineder,last_name
1,Stellbauer,last_name
1,Stimson,last_name
1,Sutherland,last_name
1,Tierney,last_name
1,Torkelson,last_name
1,Twining,last_name
1,Wagner,last_name
1,Wambsganss,last_name
1,Warner,last_name
1,Weiss,last_name
1,Whittaker,last_name
1,Wieneke,last_name
1,Woodall,last_name
1,Woodward,last_name
1,Worden,last_name
1,Babington,last_name
1,Bacon,last_name
1,Bagwell,last_name
1,Barnhart,last_name
1,Bassler,last_name
1,Bentley,last_name
1,Bostick,last_name
1,Bubser,last_name
1,Burwell,last_name
1,Cobb,last_name
1,Craft,last_name
1,Dede,last_name
1,DeFate,last_name
1,Delaney,last_name
1,Dumont,last_name
1,Ellerbe,last_name
1,Enright,last_name
1,Felix,last_name
1,Fussell,last_name
1,Gazella,last_name
1,Guisto,last_name
1,Halas,last_name
1,Hardgrove,last_name
1,Healy,last_name
1,Henry,last_name
1,Hesselbacher,last_name
1,Hollingsworth,last_name
1,Hood,last_name
1,Horan,last_name
1,Howe,last_name
1,Huber,last_name
1,Hunter,last_name
1,Jaeger,last_name
1,Jahn,last_name
1,Jourdan,last_name
1,Kennedy,last_name
1,Klugmann,last_name
1,Knight,last_name
1,Knode,last_name
1,Knowlson,last_name
1,Kopshaw,last_name
1,Kremer,last_name
1,Lamb,last_name
1,Lanning,last_name
1,Lees,last_name
1,Lewis,last_name
1,Lindstrom,last_name
1,Llewellyn,last_name
1,Lowe,last_name
1,McCarren,last_name
1,McConnell,last_name
1,McHenry,last_name
1,McMillan,last_name
1,McQuillan,last_name
1,Miljus,last_name
1,Mokan,last_name
1,Morgan,last_name
1,Neis,last_name
1,Palmero,last_name
1,Parkinson,last_name
1,Parks,last_name
1,Paschal,last_name
1,Pepper,last_name
1,Pierotti,last_name
1,Pillette,last_name
1,Pinelli,last_name
1,Poole,last_name
1,Propst,last_name
1,Pruess,last_name
1,Rasmussen,last_name
1,Rico,last_name
1,Riley,last_name
1,Ring,last_name
1,Rohwer,last_name
1,Ruth,last_name
1,Sandberg,last_name
1,Schepner,last_name
1,Schneider,last_name
1,Sharman,last_name
1,Shinners,last_name
1,Skiff,last_name
1,Snover,last_name
1,Sperber,last_name
1,Stryker,last_name
1,Swigler,last_name
1,Tomer,last_name
1,Walkup,last_name
1,Willson,last_name
1,Witt,last_name
1,Zinn,last_name
1,Zitzmann,last_name
1,Bedford,last_name
1,Blades,last_name
1,Bohne,last_name
1,Boley,last_name
1,Brock,last_name
1,Cole,last_name
1,Conkwright,last_name
1,Conway,last_name
1,Crumpler,last_name
1,Davidson,last_name
1,Dickerman,last_name
1,Distel,last_name
1,Duff,last_name
1,Durst,last_name
1,Dykes,last_name
1,Edmondson,last_name
1,Emmer,last_name
1,Ezzell,last_name
1,Fewster,last_name
1,Fuhrman,last_name
1,Galloway,last_name
1,Griffith,last_name
1,Gross,last_name
1,Halliday,last_name
1,Haney,last_name
1,Hargreaves,last_name
1,Hasty,last_name
1,Hawks,last_name
1,Heitmann,last_name
1,Hollahan,last_name
1,Holling,last_name
1,Hollocher,last_name
1,Holmes,last_name
1,Hornsby,last_name
1,Hungling,last_name
1,Koenigsmark,last_name
1,Larmore,last_name
1,LeBourveau,last_name
1,Lefler,last_name
1,Luce,last_name
1,Mangum,last_name
1,Manion,last_name
1,Mattox,last_name
1,Maynard,last_name
1,McCrea,last_name
1,McWeeny,last_name
1,Meine,last_name
1,Mostil,last_name
1,Mullen,last_name
1,Murchison,last_name
1,Newkirk,last_name
1,O'Farrell,last_name
1,Okrie,last_name
1,Ostergard,last_name
1,Pechous,last_name
1,Penner,last_name
1,Pennington,last_name
1,Perkins,last_name
1,Picinich,last_name
1,Piercy,last_name
1,Post,last_name
1,Reichle,last_name
1,Richmond,last_name
1,Rochefort,last_name
1,Rowe,last_name
1,Ruel,last_name
1,Schindler,last_name
1,Schmandt,last_name
1,Schulte,last_name
1,See,last_name
1,Seibold,last_name
1,Shay,last_name
1,Sherdel,last_name
1,Sheridan,last_name
1,Shriver,last_name
1,Silva,last_name
1,Singleton,last_name
1,Snipes,last_name
1,Sorrells,last_name
1,Thormahlen,last_name
1,Vangilder,last_name
1,Walberg,last_name
1,Whaley,last_name
1,Woehr,last_name
1,Womack,last_name
1,Yarrison,last_name
1,Zachary,last_name
1,Zahniser,last_name
1,Adkins,last_name
1,Archdeacon,last_name
1,Attreau,last_name
1,Ballou,last_name
1,Betts,last_name
1,Biemiller,last_name
1,Bigelow,last_name
1,Blue,last_name
1,Bool,last_name
1,Bowen,last_name
1,Branom,last_name
1,Brooks,last_name
1,Buckeye,last_name
1,Canavan,last_name
1,Castner,last_name
1,Claire,last_name
1,Conlon,last_name
1,Connelly,last_name
1,Crouse,last_name
1,Culloton,last_name
1,Dawson,last_name
1,Douglass,last_name
1,Dugan,last_name
1,Eckert,last_name
1,Ennis,last_name
1,Fenner,last_name
1,Ferguson,last_name
1,Ford,last_name
1,Foss,last_name
