frequency,name,type
1,Lumber,nickname
1,Topper,nickname
1,Henie,nickname
1,Shine,nickname
1,Oil,nickname
1,Spider,nickname
1,Bugger,nickname
1,Breezy,nickname
1,Kettle,nickname
1,Ross,nickname
1,Benny,nickname
1,Clint,nickname
1,Goobers,nickname
1,Cal,nickname
1,Cat,nickname
1,Uke,nickname
1,The Smoke,nickname
1,Cuy,nickname
1,Kiki,nickname
1,Big Dave,nickname
1,Shorty Davenport,nickname
1,Peco,nickname
1,Jolly Cholly,nickname
1,Hinkey,nickname
1,Ing,nickname
1,"Cliff, Rubberhead",nickname
1,Sut,nickname
1,Sparkplug,nickname
1,Pinches,nickname
1,Little Hawk,nickname
1,Firpo,nickname
1,Smiler,nickname
1,Toney,nickname
1,Rosy,nickname
1,Webb,nickname
1,Old Hoss,nickname
1,Zack,nickname
1,Memphis Bill,nickname
1,Pie,nickname
1,Harlem,nickname
1,The Bull,nickname
1,Weeping Willie,nickname
1,The Babe Ruth of the Minor Leagues,nickname
1,Beverly,nickname
1,Camera Eye,nickname
1,Seacap,nickname
1,The Kentucky Colonel,nickname
1,Pea Ridge,nickname
1,Tod,nickname
1,L.G.,nickname
1,Ellie,nickname
1,Fitz,nickname
1,The Deer,nickname
1,June,nickname
1,Unser Choe,nickname
1,Barnyard,nickname
1,Sonny,nickname
1,Schoolboy,nickname
1,Shakes,nickname
1,Yucca,nickname
1,Harlem Joe,nickname
1,Dud,nickname
1,Waddy,nickname
1,Freddie,nickname
1,Ski,nickname
1,Spinach,nickname
1,Lenny,nickname
1,Pick,nickname
1,The Danish Viking,nickname
1,Tink,nickname
1,Chinski,nickname
1,Kansas City Kid,nickname
1,Sloppy,nickname
1,Ode,nickname
1,Buddy,nickname
1,Allie,nickname
1,Hoge,nickname
1,Eppie,nickname
1,Honey,nickname
1,Whispering Bill,nickname
1,Jersey,nickname
1,Footsie,nickname
1,Big John,nickname
1,Sunny Jim,nickname
1,Rufe,nickname
1,Hughie,nickname
1,Tomato Face,nickname
1,Curlie,nickname
1,Boob,nickname
1,Dot,nickname
1,Silent John,nickname
1,Goose,nickname
1,Boots,nickname
1,Gabby - Old Tomato Face,nickname
1,Syl,nickname
1,Wes,nickname
1,Dodo,nickname
1,Sunday Teddy,nickname
1,Stubby,nickname
1,Jule,nickname
1,Rusty,nickname
